"p.value","setting_1","setting_2","metric"
0.999999979856507,"both,('add', 0.1),True,True,add","both,('add', 0.9),True,True,add","rank"
0.999999976869163,"both,('add', 0.1),True,True,add","(both,('add', 0.9),True,True,all-sep)","rank"
0.999999979856507,"both,('add', 0.1),True,True,add","(both,('add', 0.9),True,True,all-uni)","rank"
0.999999979856507,"both,('add', 0.1),True,True,add","both,('add', 0.9),True,True,del","rank"
1,"both,('add', 0.1),True,True,add","both,mul,True,True,add","rank"
1,"both,('add', 0.1),True,True,add","(both,mul,True,True,all-sep)","rank"
1,"both,('add', 0.1),True,True,add","(both,mul,True,True,all-uni)","rank"
1,"both,('add', 0.1),True,True,add","both,mul,True,True,del","rank"
0.000745095218020131,"both,('add', 0.1),True,True,add","rank,('add', 0.1),True,True,add","rank"
0.0210521692896927,"both,('add', 0.1),True,True,add","(rank,('add', 0.1),True,True,all-sep)","rank"
0.00236256790991263,"both,('add', 0.1),True,True,add","(rank,('add', 0.1),True,True,all-uni)","rank"
0.00281417701500042,"both,('add', 0.1),True,True,add","rank,('add', 0.1),True,True,del","rank"
0.88790958453514,"both,('add', 0.1),True,True,add","rank,('add', 0.2),True,True,add","rank"
0.998869497407026,"both,('add', 0.1),True,True,add","(rank,('add', 0.2),True,True,all-sep)","rank"
0.916630823109242,"both,('add', 0.1),True,True,add","(rank,('add', 0.2),True,True,all-uni)","rank"
0.978983773338532,"both,('add', 0.1),True,True,add","rank,('add', 0.2),True,True,del","rank"
0.999999956835291,"both,('add', 0.1),True,True,add","rank,('add', 0.3),True,True,add","rank"
1,"both,('add', 0.1),True,True,add","(rank,('add', 0.3),True,True,all-sep)","rank"
0.999999990928019,"both,('add', 0.1),True,True,add","(rank,('add', 0.3),True,True,all-uni)","rank"
0.999999999988657,"both,('add', 0.1),True,True,add","rank,('add', 0.3),True,True,del","rank"
1,"both,('add', 0.1),True,True,add","rank,('add', 0.4),True,True,add","rank"
1,"both,('add', 0.1),True,True,add","(rank,('add', 0.4),True,True,all-sep)","rank"
1,"both,('add', 0.1),True,True,add","(rank,('add', 0.4),True,True,all-uni)","rank"
1,"both,('add', 0.1),True,True,add","rank,('add', 0.4),True,True,del","rank"
1,"both,('add', 0.1),True,True,add","rank,('add', 0.5),True,True,add","rank"
1,"both,('add', 0.1),True,True,add","(rank,('add', 0.5),True,True,all-sep)","rank"
1,"both,('add', 0.1),True,True,add","(rank,('add', 0.5),True,True,all-uni)","rank"
1,"both,('add', 0.1),True,True,add","rank,('add', 0.5),True,True,del","rank"
0.999998564721372,"both,('add', 0.1),True,True,add","rank,('add', 0.6),True,True,add","rank"
0.999737958944998,"both,('add', 0.1),True,True,add","(rank,('add', 0.6),True,True,all-sep)","rank"
0.999959367625029,"both,('add', 0.1),True,True,add","(rank,('add', 0.6),True,True,all-uni)","rank"
0.999886881486575,"both,('add', 0.1),True,True,add","rank,('add', 0.6),True,True,del","rank"
0.983698420659385,"both,('add', 0.1),True,True,add","rank,('add', 0.7),True,True,add","rank"
0.998911837575039,"both,('add', 0.1),True,True,add","(rank,('add', 0.7),True,True,all-sep)","rank"
0.985695935681479,"both,('add', 0.1),True,True,add","(rank,('add', 0.7),True,True,all-uni)","rank"
0.918114569289611,"both,('add', 0.1),True,True,add","rank,('add', 0.7),True,True,del","rank"
0.999348268972504,"both,('add', 0.1),True,True,add","rank,('add', 0.8),True,True,add","rank"
0.999716555002567,"both,('add', 0.1),True,True,add","(rank,('add', 0.8),True,True,all-sep)","rank"
0.999348268972504,"both,('add', 0.1),True,True,add","(rank,('add', 0.8),True,True,all-uni)","rank"
0.995131262024316,"both,('add', 0.1),True,True,add","rank,('add', 0.8),True,True,del","rank"
0.990532929745151,"both,('add', 0.1),True,True,add","rank,('add', 0.9),True,True,add","rank"
0.989939554252955,"both,('add', 0.1),True,True,add","(rank,('add', 0.9),True,True,all-sep)","rank"
0.962533471026974,"both,('add', 0.1),True,True,add","(rank,('add', 0.9),True,True,all-uni)","rank"
0.990532929745151,"both,('add', 0.1),True,True,add","rank,('add', 0.9),True,True,del","rank"
1,"both,('add', 0.1),True,True,add","rank,mul,True,True,add","rank"
1,"both,('add', 0.1),True,True,add","(rank,mul,True,True,all-sep)","rank"
